2025-09-15T12:58:25.147+0800	INFO	livekit.transport	rtc/transport.go:583	ice reconnected or switched pair	{"room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "roomID": "RM_kzPD3VwxrcUc", "participant": "274877906947", "pID": "PA_atpxXB27wFcL", "remote": false, "transport": "PUBLISHER", "existingPair": {"localProtocol": "udp", "localCandidateType": "srflx", "localAdddress": "175.178.112.138", "localPort": 51532, "remoteProtocol": "udp", "remoteCandidateType": "prflx", "remoteAdddress": "219.135.195...", "remotePort": 4343}, "newPair": {"localProtocol": "udp", "localCandidateType": "srflx", "localAdddress": "175.178.112.138", "localPort": 52445, "remoteProtocol": "udp", "remoteCandidateType": "prflx", "remoteAdddress": "219.135.195...", "remotePort": 16805}}
2025-09-15T12:58:25.170+0800	INFO	livekit	rtc/room.go:506	participant active	{"room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "roomID": "RM_kzPD3VwxrcUc", "participant": "274877906947", "pID": "PA_atpxXB27wFcL", "remote": false, "publisherCandidates": ["[local][trickle] udp4 host 10.1.12.4:50751 (resolved: 10.1.12.4:50751)", "[local][trickle] tcp4 host 10.1.12.4:7881 (resolved: 10.1.12.4:7881)", "[local][trickle] udp4 host 172.17.0.1:54931 (resolved: 172.17.0.1:54931)", "[local][trickle] tcp4 host 172.17.0.1:7881 (resolved: 172.17.0.1:7881)", "[local][trickle] udp4 host 172.18.0.1:56763 (resolved: 172.18.0.1:56763)", "[local][trickle] tcp4 host 172.18.0.1:7881 (resolved: 172.18.0.1:7881)", "[local][selected:3][trickle] udp4 srflx 175.178.112.138:52445 related 0.0.0.0:52445 (resolved: 175.178.112.138:52445)", "[local][selected:2][trickle] udp4 srflx 175.178.112.138:51532 related 0.0.0.0:51532 (resolved: 175.178.112.138:51532)", "[remote][trickle] udp4 host 192.168.207.1:58132", "[remote][trickle] udp4 host 192.168.139.1:58133", "[remote][trickle] udp4 host 10.20.160.240:58134", "[remote][trickle] tcp4 host 192.168.207.1:9", "[remote][trickle] tcp4 host 192.168.139.1:9", "[remote][trickle] tcp4 host 10.20.160.240:9", "[remote][trickle] udp4 srflx 183.6.122....:15293  related 10.20.160.240:58134", "[remote][selected:3] udp4 prflx 219.135.195...:16805", "[remote][selected:2] udp4 prflx 219.135.195...:4343"], "subscriberCandidates": ["[local][trickle] udp4 host 10.1.12.4:57450 (resolved: 10.1.12.4:57450)", "[local][trickle] tcp4 host 10.1.12.4:7881 (resolved: 10.1.12.4:7881)", "[local][trickle] tcp4 host 172.17.0.1:7881 (resolved: 172.17.0.1:7881)", "[local][trickle] udp4 host 172.17.0.1:58376 (resolved: 172.17.0.1:58376)", "[local][trickle] udp4 host 172.18.0.1:52011 (resolved: 172.18.0.1:52011)", "[local][trickle] tcp4 host 172.18.0.1:7881 (resolved: 172.18.0.1:7881)", "[local][selected:1][trickle] udp4 srflx 175.178.112.138:54065 related 0.0.0.0:54065 (resolved: 175.178.112.138:54065)", "[local][trickle] udp4 srflx 175.178.112.138:55110 related 0.0.0.0:55110 (resolved: 175.178.112.138:55110)", "[remote][trickle] udp4 host 192.168.207.1:57651", "[remote][trickle] udp4 host 192.168.139.1:57652", "[remote][trickle] udp4 host 10.20.160.240:57653", "[remote][trickle] tcp4 host 192.168.207.1:9", "[remote][trickle] tcp4 host 192.168.139.1:9", "[remote][trickle] tcp4 host 10.20.160.240:9", "[remote][trickle] udp4 srflx 183.6.122....:8115  related 10.20.160.240:57653", "[remote][selected:1] udp4 prflx 219.135.195...:16085"], "connectionType": "udp", "clientInfo": {"sdk": "JS", "version": "2.15.6", "protocol": 16, "os": "Windows", "osVersion": "10", "deviceModel": "Other", "browser": "Electron", "browserVersion": "30.5.1"}}
2025-09-15T12:58:25.744+0800	INFO	livekit.pub	rtc/participant.go:2333	mediaTrack published	{"room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "roomID": "RM_kzPD3VwxrcUc", "participant": "274877906947", "pID": "PA_atpxXB27wFcL", "remote": false, "kind": "audio", "trackID": "TR_AsRABNskCzgfRv", "webrtcTrackID": "8bd414ff-4318-4aba-b42e-3f3586734fff", "rid": "", "SSRC": 2260884103, "mime": "audio/red", "trackInfo": {"sid": "TR_AsRABNskCzgfRv", "type": "AUDIO", "source": "SCREEN_SHARE_AUDIO", "mimeType": "audio/red", "mid": "1", "codecs": [{"mimeType": "audio/red", "mid": "1", "cid": "8bd414ff-4318-4aba-b42e-3f3586734fff", "videoLayerMode": "MODE_UNUSED"}], "encryption": "NONE", "stream": "screen", "version": {"unixMicro": 1757912305743719}, "audioFeatures": ["TF_AUTO_GAIN_CONTROL", "TF_ECHO_CANCELLATION", "TF_NOISE_SUPPRESSION"], "backupCodecPolicy": "PREFER_REGRESSION"}, "fromSdp": true, "isReceiverAdded": true, "sdpRids": ["", "", ""]}
2025-09-15T12:58:25.833+0800	INFO	livekit.pub	rtc/participant.go:2333	mediaTrack published	{"room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "roomID": "RM_kzPD3VwxrcUc", "participant": "274877906947", "pID": "PA_atpxXB27wFcL", "remote": false, "kind": "video", "trackID": "TR_VSyAggvSpuWf9c", "webrtcTrackID": "b3eb2021-62f9-46f1-ac8d-e819b2e6d50b", "rid": "q", "SSRC": 975932471, "mime": "video/VP8", "trackInfo": {"sid": "TR_VSyAggvSpuWf9c", "type": "VIDEO", "width": 1920, "height": 1080, "simulcast": true, "source": "SCREEN_SHARE", "layers": [{"quality": "LOW", "width": 960, "height": 540, "bitrate": 625000, "ssrc": 975932471, "rid": "q"}, {"quality": "MEDIUM", "width": 1920, "height": 1080, "bitrate": 2500000, "spatialLayer": 1, "rid": "h"}], "mimeType": "video/VP8", "mid": "2", "codecs": [{"mimeType": "video/VP8", "mid": "2", "cid": "b3eb2021-62f9-46f1-ac8d-e819b2e6d50b", "layers": [{"quality": "LOW", "width": 960, "height": 540, "bitrate": 625000, "ssrc": 975932471, "rid": "q"}, {"quality": "MEDIUM", "width": 1920, "height": 1080, "bitrate": 2500000, "spatialLayer": 1, "rid": "h"}], "videoLayerMode": "ONE_SPATIAL_LAYER_PER_STREAM"}], "encryption": "NONE", "stream": "screen", "version": {"unixMicro": 1757912305832788}, "backupCodecPolicy": "PREFER_REGRESSION"}, "fromSdp": true, "isReceiverAdded": true, "sdpRids": ["q", "h", ""]}
2025-09-15T12:58:39.206+0800	WARN	livekit.transport	rtc/transport.go:869	error reading data channel	{"room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "roomID": "RM_kzPD3VwxrcUc", "participant": "274877906947", "pID": "PA_atpxXB27wFcL", "remote": false, "transport": "PUBLISHER", "label": "_reliable", "error": "[0xc0013e23c0] abort chunk, with following errors: (User Initiated Abort: Close called)"}
2025-09-15T12:58:39.206+0800	WARN	livekit.transport	rtc/transport.go:869	error reading data channel	{"room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "roomID": "RM_kzPD3VwxrcUc", "participant": "274877906947", "pID": "PA_atpxXB27wFcL", "remote": false, "transport": "PUBLISHER", "label": "_lossy", "error": "[0xc0013e23c0] abort chunk, with following errors: (User Initiated Abort: Close called)"}
2025-09-15T12:58:39.209+0800	WARN	livekit.transport	rtc/transport.go:1147	error reading data channel	{"room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "roomID": "RM_kzPD3VwxrcUc", "participant": "274877906947", "pID": "PA_atpxXB27wFcL", "remote": false, "transport": "SUBSCRIBER", "label": "_reliable", "error": "[0xc0013e25a0] abort chunk, with following errors: (User Initiated Abort: Close called)"}
2025-09-15T12:58:39.209+0800	WARN	livekit.transport	rtc/transport.go:1147	error reading data channel	{"room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "roomID": "RM_kzPD3VwxrcUc", "participant": "274877906947", "pID": "PA_atpxXB27wFcL", "remote": false, "transport": "SUBSCRIBER", "label": "_lossy", "error": "[0xc0013e25a0] abort chunk, with following errors: (User Initiated Abort: Close called)"}
2025-09-15T12:58:39.222+0800	INFO	livekit	rtc/participant.go:1479	participant closing	{"room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "roomID": "RM_kzPD3VwxrcUc", "participant": "274877906947", "pID": "PA_atpxXB27wFcL", "remote": false, "sendLeave": true, "reason": "CLIENT_REQUEST_LEAVE", "isExpectedToResume": false}
2025-09-15T12:58:39.222+0800	ERROR	livekit.transport.pion.pc	v4@v4.1.5-0.20250828044558-c376d0edf977/peerconnection.go:1913	Incoming unhandled RTP ssrc(2050907766), OnTrack will not be fired. EOF	{"room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "roomID": "RM_kzPD3VwxrcUc", "participant": "274877906947", "pID": "PA_atpxXB27wFcL", "remote": false, "transport": "PUBLISHER"}
